message_id,wpm,snr_requested_db,signal_type,device,transform,windows_available,windows_tested,fidelity_mean,fidelity_std,fidelity_min,leakage_mean,leakage_max,depth_mean,depth_std,size_mean,size_std,twoq_mean,twoq_std,simulation_time_mean_s,simulation_time_std_s,simulation_time_total_s
0,20,,clean,ideal,QFT,236,236,0.9999999999999986,1.6901299634984134e-15,0.9999999999999937,0.0,0.0,511.0,0.0,542.0,0.0,279.0,0.0,0.03917140762668924,0.003643604962968471,9.24445219989866
0,20,,clean,ideal,QDCT,236,236,0.9999999999998851,4.204195282308175e-15,0.9999999999998732,0.0,0.0,3235.0,0.0,4377.0,0.0,2061.0,0.0,0.5306494105955037,0.05680225401224735,125.23326090053888
0,20,,clean,ideal,QDST,236,236,0.9999999999998853,3.5562915819648795e-15,0.9999999999998728,0.0,0.0,3236.0,0.0,4378.0,0.0,2061.0,0.0,0.5283700741526091,0.06681842138074054,124.69533750001574
0,20,,clean,ideal,QDWT,236,236,0.9999999999998673,2.3451269184057745e-15,0.9999999999998617,0.0,0.0,3668.0,0.0,4746.0,0.0,2143.0,0.0,0.19462217076339214,0.0121980287038134,45.930832300160546
0,20,30.0,noisy,ideal,QFT,236,236,0.9999999999999988,1.9823290057584335e-15,0.9999999999999919,0.0,0.0,511.0,0.0,542.0,0.0,279.0,0.0,0.03343218940648574,0.0041466703522537495,7.889996699930634
0,20,30.0,noisy,ideal,QDCT,236,236,0.9999999999998853,4.279072599328227e-15,0.999999999999871,0.0,0.0,3235.0,0.0,4377.0,0.0,2061.0,0.0,0.47449622457448426,0.027779253350181474,111.98110899957828
0,20,30.0,noisy,ideal,QDST,236,236,0.9999999999998858,3.3773848065683265e-15,0.9999999999998692,0.0,0.0,3236.0,0.0,4378.0,0.0,2061.0,0.0,0.47218599873081923,0.02207369169329368,111.43589570047334
0,20,30.0,noisy,ideal,QDWT,236,236,0.9999999999998673,2.7209871146344697e-15,0.9999999999998607,0.0,0.0,3668.0,0.0,4746.0,0.0,2143.0,0.0,0.19196425254261357,0.009505129069510355,45.303563600056805
0,20,,clean,FakeSherbrooke,QFT,236,236,0.0418847868527762,0.001449176971964916,0.03882603162440641,0.0,0.0,1205.0338983050847,46.862118741461224,2001.2288135593221,47.25972431849508,315.0,0.0,0.4131428161026788,0.05131054695242761,97.50170460023219
0,20,,clean,FakeSherbrooke,QDCT,236,236,0.002042239882044737,4.6329341918026454e-05,0.001982965429453307,0.4930174022324041,0.4930510688664391,7117.097457627118,46.85791534868442,13305.292372881357,47.25152792216991,2221.0,0.0,1.052641571186911,0.05513454573460684,248.42341080011101
0,20,,clean,FakeSherbrooke,QDST,236,236,0.0020061057737667653,4.78381067682624e-05,0.0019173743817334197,0.5067757538715383,0.5067913086213591,7117.097457627118,46.85791534868442,13306.292372881357,47.25152792216991,2221.0,0.0,1.0629548182199469,0.07036611660144869,250.85733709990745
0,20,,clean,FakeSherbrooke,QDWT,236,236,0.003918830361952077,6.977888785721298e-05,0.0037991708929496497,0.0,0.0,8437.033898305084,46.86211874146122,14804.228813559323,47.259724318495074,2451.0,0.0,0.7905033368639988,0.05479981407999395,186.5587874999037
0,20,30.0,noisy,FakeSherbrooke,QFT,236,236,0.041753217650583194,0.0016744261937631706,0.0373841169723938,0.0,0.0,1239.0169491525423,52.72690803916247,2035.7796610169491,52.75392757379645,315.0,0.0,0.41331590042361727,0.052447794649946006,97.54255249997368
0,20,30.0,noisy,FakeSherbrooke,QDCT,236,236,0.00204211773597624,4.6036764362346174e-05,0.001978630564780013,0.4930174730224323,0.4930604226756733,7151.21186440678,52.7838335058646,13339.974576271186,52.81089735137761,2221.0,0.0,1.0552862262727212,0.06134652031800235,249.0475494003622
0,20,30.0,noisy,FakeSherbrooke,QDST,236,236,0.0020055973543380715,4.664920791289262e-05,0.001919802599250599,0.506775668795817,0.5067912646557761,7151.21186440678,52.7838335058646,13340.974576271186,52.81089735137761,2221.0,0.0,1.0510560406766085,0.05295130156566134,248.04922559967963
0,20,30.0,noisy,FakeSherbrooke,QDWT,236,236,0.003923934487594621,8.841241084124893e-05,0.003717102328879629,0.0,0.0,8471.012711864407,52.72847628454533,14838.775423728814,52.75547595714137,2451.0,0.0,0.7943251699140647,0.05236406265928062,187.46074009971926
0,20,10.0,noisy,ideal,QFT,236,236,0.9999999999999989,1.7581667166744816e-15,0.9999999999999947,0.0,0.0,511.0,0.0,542.0,0.0,279.0,0.0,0.033354898304254275,0.0035263026309368976,7.871755999804009
0,20,10.0,noisy,ideal,QDCT,236,236,0.9999999999998849,3.881315623322174e-15,0.9999999999998735,0.0,0.0,3235.0,0.0,4377.0,0.0,2061.0,0.0,0.4673560669500641,0.018890875310401137,110.29603180021513
0,20,10.0,noisy,ideal,QDST,236,236,0.9999999999998843,2.9243117156960677e-15,0.9999999999998741,0.0,0.0,3236.0,0.0,4378.0,0.0,2061.0,0.0,0.4685425216093328,0.020200837676544833,110.57603509980254
0,20,10.0,noisy,ideal,QDWT,236,236,0.999999999999867,2.2430878305120006e-15,0.9999999999998612,0.0,0.0,3668.0,0.0,4746.0,0.0,2143.0,0.0,0.19264149745695403,0.009310228969833835,45.46339339984115
0,20,10.0,noisy,FakeSherbrooke,QFT,236,236,0.04172759967343532,0.001200416122399916,0.038468357205798394,0.0,0.0,1239.334745762712,53.98691598727158,2036.050847457627,53.99307040560102,315.0,0.0,0.4134968593228269,0.0514919978043763,97.58525880018715
0,20,10.0,noisy,FakeSherbrooke,QDCT,236,236,0.0020333237506929822,3.973281257570946e-05,0.0019780723859577822,0.49302060510871404,0.49305660038127985,7151.923728813559,54.0963761403634,13340.639830508475,54.10318083294603,2221.0,0.0,1.0522507881339722,0.054985034628592305,248.33118599961745
0,20,10.0,noisy,FakeSherbrooke,QDST,236,236,0.001994330475805976,4.152663504528903e-05,0.0019132502892345406,0.5067727329479873,0.5067895318619723,7151.923728813559,54.0963761403634,13341.639830508475,54.10318083294603,2221.0,0.0,1.0530371250011523,0.05724264026694296,248.51676150027197
0,20,10.0,noisy,FakeSherbrooke,QDWT,236,236,0.003922989564190018,5.8561893594884005e-05,0.0037943659316202923,0.0,0.0,8471.313559322034,53.970126569311454,14839.02966101695,53.97624997072361,2451.0,0.0,0.7934620453397965,0.05254464666871041,187.25704270019196
0,20,0.0,noisy,ideal,QFT,236,236,0.999999999999999,1.6892799412882325e-15,0.9999999999999943,0.0,0.0,510.99152542372883,0.12991279420979568,541.9915254237288,0.12991279420979568,278.9957627118644,0.06495639710489784,0.03313499661058906,0.0033373628629768553,7.8198592000990175
0,20,0.0,noisy,ideal,QDCT,236,236,0.9999999999998812,2.4639401864060175e-15,0.9999999999998747,0.0,0.0,3234.991525423729,0.12991279420979568,4376.9915254237285,0.12991279420979568,2060.9957627118642,0.06495639710489784,0.46678877881554476,0.014377797874260165,110.16215180046856
0,20,0.0,noisy,ideal,QDST,236,236,0.9999999999998803,2.4110905241529375e-15,0.9999999999998733,0.0,0.0,3235.991525423729,0.12991279420979568,4377.9915254237285,0.12991279420979568,2060.9957627118642,0.06495639710489784,0.49002527712126087,0.05809827397506477,115.64596540061757
0,20,0.0,noisy,ideal,QDWT,236,236,0.9999999999998667,2.156171925283626e-15,0.9999999999998601,0.0,0.0,3667.991525423729,0.12991279420979568,4745.9915254237285,0.12991279420979568,2142.9957627118642,0.06495639710489784,0.19237551228952263,0.009085952212632897,45.40062090032734
0,20,0.0,noisy,FakeSherbrooke,QFT,236,236,0.04103402289119958,0.0006877362785553524,0.037546226673887365,0.0,0.0,1255.9237288135594,71.40059544684306,2052.5677966101694,71.44133290811031,314.9957627118644,0.06495639710489784,0.41503344491564165,0.05066908037576504,97.94789300009143
0,20,0.0,noisy,FakeSherbrooke,QDCT,236,236,0.0020036738879441727,1.7746646918150582e-05,0.0019691329403464584,0.4930346003477266,0.4930593437867308,7168.5550847457625,71.58343134858015,13357.199152542373,71.62377102298511,2220.9957627118642,0.06495639710489784,1.0463992855921032,0.055986855712044654,246.95023139973637
0,20,0.0,noisy,FakeSherbrooke,QDST,236,236,0.0019562600351532436,1.919340078917443e-05,0.0019146975782103135,0.5067591537922066,0.5067764942915104,7168.5550847457625,71.58343134858015,13358.199152542373,71.62377102298511,2220.9957627118642,0.06495639710489784,1.0473997504248134,0.05697611784063401,247.18634110025596
0,20,0.0,noisy,FakeSherbrooke,QDWT,236,236,0.003914583653657615,2.3820093024434343e-05,0.0038572295950106,0.0,0.0,8487.906779661016,71.36674049549588,14855.550847457627,71.40753146643057,2450.9957627118642,0.06495639710489784,0.7922693262719234,0.05622232557384361,186.9755610001739
0,20,-10.0,noisy,ideal,QFT,236,236,0.999999999999999,1.8914288269655845e-15,0.9999999999999942,0.0,0.0,511.0,0.0,542.0,0.0,279.0,0.0,0.03398354449043035,0.004604051067922451,8.020116499741562
0,20,-10.0,noisy,ideal,QDCT,236,236,0.9999999999998787,2.185404514141118e-15,0.9999999999998739,0.0,0.0,3235.0,0.0,4377.0,0.0,2061.0,0.0,0.4731746940679702,0.02338919065454993,111.66922780004097
0,20,-10.0,noisy,ideal,QDST,236,236,0.9999999999998773,2.2538542401007444e-15,0.9999999999998714,0.0,0.0,3236.0,0.0,4378.0,0.0,2061.0,0.0,0.4672190444904056,0.015931756740308743,110.26369449973572
0,20,-10.0,noisy,ideal,QDWT,236,236,0.9999999999998659,2.262261950817567e-15,0.999999999999859,0.0,0.0,3668.0,0.0,4746.0,0.0,2143.0,0.0,0.19312495974477548,0.010790991627034304,45.57749049976701
0,20,-10.0,noisy,FakeSherbrooke,QFT,236,236,0.040658351152849936,0.0005830943040956829,0.038515763610847305,0.0,0.0,1292.3559322033898,93.41859734129893,2088.987288135593,93.48871412591457,315.0,0.0,0.4153405144079135,0.052384169853428225,98.02036140026757
0,20,-10.0,noisy,FakeSherbrooke,QDCT,236,236,0.001984607815759056,5.594389906307595e-06,0.001971737750125437,0.4930469990467199,0.49305982078899735,7205.114406779661,93.80908106761191,13393.745762711864,93.87913131044999,2221.0,0.0,1.0506115983034607,0.05465154343860163,247.9443371996167
0,20,-10.0,noisy,FakeSherbrooke,QDST,236,236,0.001933399586619733,8.81889866760357e-06,0.0019134207173517697,0.5067465587933009,0.5067589280016344,7205.114406779661,93.80908106761191,13394.745762711864,93.87913131044999,2221.0,0.0,1.052820623302546,0.056868984135845305,248.4656670994009
