message_id,wpm,snr_requested_db,signal_type,transform,implementation,retention_requested,retention_actual,avg_kept,rmse,snr_db,correlation,rmse_vs_clean,snr_vs_clean_db,corr_vs_clean,retention_pct
0,20,30,clean,FFT,classical,1.0,1.0,256.0,1.2964970136742892e-16,inf,0.9999999999999996,1.2964970136742892e-16,inf,0.9999999999999996,100.0
0,20,30,clean,FFT,classical,0.85,0.8548263428381963,218.83554376657824,0.010719994522344987,33.25343969508678,0.9997641618526618,0.010719994522344987,33.25343969508678,0.9997641618526618,85.0
0,20,30,clean,FFT,classical,0.75,0.7532638428381963,192.83554376657824,0.014249982948343095,30.781044070662116,0.999582789301633,0.014249982948343095,30.781044070662116,0.999582789301633,75.0
0,20,30,clean,FFT,classical,0.5,0.5032638428381963,128.83554376657824,0.022718206990578322,26.729849920371972,0.9989383531768916,0.022718206990578322,26.729849920371972,0.9989383531768916,50.0
0,20,30,clean,FFT,classical,0.45,0.45624378315649866,116.79840848806366,0.024708444581076582,26.000422823299587,0.9987443352996891,0.024708444581076582,26.000422823299587,0.9987443352996891,45.0
0,20,30,clean,FFT,classical,0.25,0.25146095822281167,64.37400530503979,0.04183427322312796,21.426686394093828,0.9963935060616723,0.04183427322312796,21.426686394093828,0.9963935060616723,25.0
0,20,30,clean,FFT,classical,0.1,0.10302345822281167,26.374005305039788,0.07567001518064886,16.27885454206202,0.9881514536000817,0.07567001518064886,16.27885454206202,0.9881514536000817,10.0
0,20,30,clean,FFT,classical,0.05,0.05322654177718833,13.625994694960212,0.10518984951699938,13.41785428763744,0.9769742626883614,0.10518984951699938,13.41785428763744,0.9769742626883614,5.0
0,20,30,clean,FFT,classical,0.02,0.02489845822281167,6.374005305039788,0.17042078029969324,9.226879974669242,0.9383578123074775,0.17042078029969324,9.226879974669242,0.9383578123074775,2.0
0,20,30,clean,FFT,classical,0.01,0.014164041777188328,3.625994694960212,0.20305617452594907,7.705006963142246,0.9112471200475637,0.20305617452594907,7.705006963142246,0.9112471200475637,1.0
0,20,30,clean,DCT,classical,1.0,1.0,256.0,2.0619223287682512e-16,inf,0.9999999999999999,2.0619223287682512e-16,inf,0.9999999999999999,100.0
0,20,30,clean,DCT,classical,0.85,0.8515625,218.0,0.00033893234282218976,63.25507069141797,0.9999997637003974,0.00033893234282218976,63.25507069141797,0.9999997637003974,85.0
0,20,30,clean,DCT,classical,0.75,0.75,192.0,0.0007908804109547873,55.89511458827596,0.999998713354738,0.0007908804109547873,55.89511458827596,0.999998713354738,75.0
0,20,30,clean,DCT,classical,0.5,0.5,128.0,0.003257959772965302,43.59841661119362,0.999978166011136,0.003257959772965302,43.59841661119362,0.999978166011136,50.0
0,20,30,clean,DCT,classical,0.45,0.453125,116.0,0.0041851821567204794,41.423043662703435,0.9999639692367381,0.0041851821567204794,41.423043662703435,0.9999639692367381,45.0
0,20,30,clean,DCT,classical,0.25,0.25,64.0,0.016036482784059183,29.755148516620643,0.9994712112838405,0.016036482784059183,29.755148516620643,0.9994712112838405,25.0
0,20,30,clean,DCT,classical,0.1,0.1015625,26.0,0.04809285517626075,20.21571974333201,0.9952309172466884,0.04809285517626075,20.21571974333201,0.9952309172466884,10.0
0,20,30,clean,DCT,classical,0.05,0.05078125,13.0,0.07422108000897791,16.4467855722793,0.9886034538880941,0.07422108000897791,16.4467855722793,0.9886034538880941,5.0
0,20,30,clean,DCT,classical,0.02,0.0234375,6.0,0.11484979727126868,12.654726305331327,0.972488588690547,0.11484979727126868,12.654726305331327,0.972488588690547,2.0
0,20,30,clean,DCT,classical,0.01,0.01171875,3.0,0.17038201602620753,9.228855910350983,0.9383867707990082,0.17038201602620753,9.228855910350983,0.9383867707990082,1.0
0,20,30,clean,DST,classical,1.0,1.0,256.0,1.9513671901064026e-16,inf,0.9999999999999999,1.9513671901064026e-16,inf,0.9999999999999999,100.0
0,20,30,clean,DST,classical,0.85,0.8515625,218.0,0.006559816360226837,37.51949733148279,0.9999114873474791,0.006559816360226837,37.51949733148279,0.9999114873474791,85.0
0,20,30,clean,DST,classical,0.75,0.75,192.0,0.00923010568304002,34.5531974909934,0.9998247419144168,0.00923010568304002,34.5531974909934,0.9998247419144168,75.0
0,20,30,clean,DST,classical,0.5,0.5,128.0,0.017327477567708766,29.08262405837816,0.9993822092653879,0.017327477567708766,29.08262405837816,0.9993822092653879,50.0
0,20,30,clean,DST,classical,0.45,0.453125,116.0,0.01981348578052914,27.918113212816355,0.9991921456678959,0.01981348578052914,27.918113212816355,0.9991921456678959,45.0
0,20,30,clean,DST,classical,0.25,0.25,64.0,0.031853960021907546,23.7940623506087,0.9979106186697265,0.031853960021907546,23.7940623506087,0.9979106186697265,25.0
0,20,30,clean,DST,classical,0.1,0.1015625,26.0,0.051407601095743875,19.636784198874643,0.9945489974830242,0.051407601095743875,19.636784198874643,0.9945489974830242,10.0
0,20,30,clean,DST,classical,0.05,0.05078125,13.0,0.0722390450406951,16.681891039624666,0.9892073086208114,0.0722390450406951,16.681891039624666,0.9892073086208114,5.0
0,20,30,clean,DST,classical,0.02,0.0234375,6.0,0.11395026940836693,12.72302383786908,0.9729240023258436,0.11395026940836693,12.72302383786908,0.9729240023258436,2.0
0,20,30,clean,DST,classical,0.01,0.01171875,3.0,0.16866317629178837,9.316925468527318,0.9396637043751064,0.16866317629178837,9.316925468527318,0.9396637043751064,1.0
0,20,30,clean,DWT,classical,1.0,1.0,256.0,2.2379752865529405e-16,inf,0.9999999999999999,2.2379752865529405e-16,inf,0.9999999999999999,100.0
0,20,30,clean,DWT,classical,0.85,0.8515625,218.0,0.01745642866475162,29.018223003402312,0.9993732704728617,0.01745642866475162,29.018223003402312,0.9993732704728617,85.0
0,20,30,clean,DWT,classical,0.75,0.75,192.0,0.03715897335092124,22.456056832857634,0.9971579632958344,0.03715897335092124,22.456056832857634,0.9971579632958344,75.0
0,20,30,clean,DWT,classical,0.5,0.5,128.0,0.10130737523593908,13.744509695895697,0.9786608326771098,0.10130737523593908,13.744509695895697,0.9786608326771098,50.0
0,20,30,clean,DWT,classical,0.45,0.453125,116.0,0.11431230232795116,12.695471527407648,0.972749132819225,0.11431230232795116,12.695471527407648,0.972749132819225,45.0
0,20,30,clean,DWT,classical,0.25,0.25,64.0,0.20002527206191253,7.835633568300303,0.9140009718508018,0.20002527206191253,7.835633568300303,0.9140009718508018,25.0
